uuid,match_id,participants,game_creation,game_length,game_version,tft_set_number,puuid,summoner_name,level,placement,last_round,time_eliminated,total_damage_to_players,players_eliminated,arcana,chrono,dragon,druid,eldritch,faerie,frost,honeymancy,portal,pyro,ravenous,sugarcraft,witchcraft,ascendant,bastion,batqueen,blaster,explorer,hunter,incantor,mage,multistriker,preserver,scholar,shapeshifter,vanguard,warrior,
NA1_5125184527_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125184527,"[""mode"", ""VIT k3soju"", ""nctn"", ""Emailsupport1234"", ""TwTV GGitsRyan"", ""mintmax"", ""Sunny Side Up"", ""ElhaproNA""]",1.72787E+12,2101.442626953125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,5,31,1851.3289794921875,99,0,4,0,0,0,0,2,0,0,2,0,0,1,0,1,2,0,1,0,0,0,0,2,3,4,0,1,0,
NA1_5125180124_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125180124,"[""VIT k3soju"", ""oceanair12"", ""syz fanboy 2"", ""wang the bang"", ""Marcel P Clash"", ""Dishsoap"", ""VIT prestivent"", ""Emailsupport1234""]",1.72786E+12,1987.300781,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,34,1973.118896484375,177,3,0,2,0,0,1,1,2,0,0,1,1,1,2,0,0,1,0,0,0,1,0,0,4,1,4,0,0,
NA1_5125173877_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125173877,"[""Carelessd"", ""11lumin"", ""VIT k3soju"", ""me1stor8th"", ""Dishsoap"", ""Desperader"", ""auqaa"", ""Bruhbruhbruh WHO""]",1.72786E+12,2352.933837890625,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,3,37,2165.949219,138,2,1,2,0,0,0,5,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,3,1,0,0,1,
NA1_5125165850_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125165850,"[""VIT prestivent"", ""Aesah"", ""VIT k3soju"", ""dankmemes01"", ""Hamtaro"", ""Dino0228"", ""\u9cc4\u4e86\u4e48\u9a91\u624b\u96f7\u514b\u987f"", ""TwTV GGitsRyan""]",1.72786E+12,1958.542724609375,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,7,27,1566.7291259765625,24,0,2,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,2,0,
NA1_5125149461_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125149461,"[""VIT k3soju"", ""Notes"", ""tintt"", ""11lumin"", ""WahoopaUnbound"", ""ManChodi"", ""oceanair12"", ""PanicRoll""]",1.72786E+12,2219.446777,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,7,28,1647.5081787109375,71,0,2,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,1,1,0,2,1,
NA1_5125141390_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125141390,"[""Xender"", ""TwTV GGitsRyan"", ""VIT k3soju"", ""jeddi"", ""Dishsoap"", ""VIT setsuko"", ""ManChodi"", ""Marcel P Clash""]",1.72785E+12,2109.480469,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,6,26,1499.104736328125,29,0,1,2,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,1,0,0,1,
NA1_5125129089_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125129089,"[""Game setsuko"", ""Sunny"", ""Kurumx"", ""Marcel P Clash"", ""forsen smurf acc"", ""VIT k3soju"", ""robinsongz"", ""nctn""]",1.72785E+12,2056.433349609375,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,3,34,1973.7572021484375,128,3,1,2,0,0,0,5,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,3,1,0,0,1,
NA1_5125109269_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125109269,"[""149cm"", ""Dino0228"", ""Phoenixaa"", ""VIT setsuko"", ""Kurumx"", ""Xender"", ""Marcel P Clash"", ""VIT k3soju""]",1.72785E+12,2154.152344,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,38,2136.427734,172,3,0,0,0,0,3,0,1,0,3,0,1,0,1,0,2,0,0,1,0,0,3,0,0,0,2,2,0,
NA1_5125084364_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125084364,"[""Bruhbruhbruh WHO"", ""iFalse"", ""robinsongz"", ""VIT k3soju"", ""nctn"", ""PanicRoll"", ""META Souless"", ""Phoenixaa""]",1.72785E+12,2129.125244140625,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,1,37,2116.098876953125,184,3,3,0,0,0,0,0,0,0,0,2,0,2,2,1,0,1,2,0,0,0,0,0,2,2,2,2,0,
NA1_5125065278_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125065278,"[""click my d"", ""VIT k3soju"", ""Luqun"", ""Filup"", ""flamez"", ""VIT setsuko"", ""B\u00e9aster"", ""imriveting""]",1.72785E+12,1915.345458984375,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,8,24,1365.9984130859375,20,0,3,2,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,2,2,2,1,0,
NA1_5125039870_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5125039870,"[""Luqun"", ""imriveting"", ""B\u00e9aster"", ""VIT k3soju"", ""JZhu"", ""Bruhbruhbruh WHO"", ""DimDot"", ""dehua""]",1.72784E+12,1993.7950439453125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,1,35,1980.583984,169,4,3,2,0,0,1,3,1,0,0,0,1,0,2,1,2,0,0,0,0,2,0,1,3,2,2,1,0,
